$GPRMC,010209.000,A,2943.3988,N,09520.5231,W,2.10,203.21,290316$GPGGA,010210.000,2943.3983,N,09520.5234,W,2,07,1.16,10,
$GPRMC,010210.000,A,2943.3983,N,09520.5234,W,2.17,207.03,290316$GPGGA,010211.000,2943.3978,N,09520.5237,W,2,07,1.16,10,
$GPRMC,010211.000,A,2943.3978,N,09520.5237,W,2.15,203.29,290316$GPGGA,010212.000,2943.3973,N,09520.5240,W,2,07,1.16,11,
$GPRMC,010212.000,A,2943.3973,N,09520.5240,W,2.07,200.57,290316$GPGGA,010213.000,2943.3968,N,09520.5242,W,2,07,1.16,11,
$GPRMC,010213.000,A,2943.3968,N,09520.5242,W,2.05,205.31,290316$GPGGA,010214.000,2943.3963,N,09520.5245,W,2,07,1.16,11,
$GPRMC,010214.000,A,2943.3963,N,09520.5245,W,2.07,203.34,290316$GPGGA,010215.000,2943.3958,N,09520.5247,W,2,07,1.16,11,
$GPRMC,010215.000,A,2943.3958,N,09520.5247,W,1.93,197.25,290316$GPGGA,010216.000,2943.3953,N,09520.5249,W,2,07,1.16,11,
$GPRMC,010216.000,A,2943.3953,N,09520.5249,W,2.01,194.30,290316$GPGGA,010217.000,2943.3948,N,09520.5251,W,2,07,1.16,11,
$GPRMC,010217.000,A,2943.3948,N,09520.5251,W,1.92,195.05,290316$GPGGA,010218.000,2943.3943,N,09520.5252,W,2,07,1.16,11,
$GPRMC,010218.000,A,2943.3943,N,09520.5252,W,1.84,204.45,290316$GPGGA,010219.000,2943.3937,N,09520.5254,W,2,07,1.16,11,
$GPRMC,010219.000,A,2943.3937,N,09520.5254,W,2.47,182.22,290316$GPGGA,010220.000,2943.3932,N,09520.5255,W,2,07,1.16,11,
$GPRMC,010220.000,A,2943.3932,N,09520.5255,W,1.58,192.30,290316$GPGGA,010221.000,2943.3928,N,09520.5256,W,2,07,1.16,11,
$GPRMC,010221.000,A,2943.3928,N,09520.5256,W,1.63,197.87,290316$GPGGA,010222.000,2943.3923,N,09520.5259,W,2,07,1.16,11,
$GPRMC,010222.000,A,2943.3923,N,09520.5259,W,2.00,200.69,290316$GPGGA,010223.000,2943.3917,N,09520.5260,W,2,07,1.16,11,
$GPRMC,010223.000,A,2943.3917,N,09520.5260,W,2.18,188.30,290316$GPGGA,010224.000,2943.3911,N,09520.5262,W,2,07,1.16,11,
$GPRMC,010224.000,A,2943.3911,N,09520.5262,W,1.88,199.87,290316$GPGGA,010225.000,2943.3905,N,09520.5264,W,2,07,1.16,11,
